Date,Ticker,Close,inflation_rate,interest_rate,gdp_growth,unemployment_rate,exchange_rate,FTSE100_Index
2022-02-11,TSCO.L,298.1499938964844,115.4,0.4199,1.0133495081,3.8,1.3601,7661.0
2022-02-14,TSCO.L,295.3999938964844,115.4,0.4199,1.0133495081,3.8,1.3516,7531.60009765625
2022-02-15,TSCO.L,299.20001220703125,115.4,0.4199,1.0133495081,3.8,1.3539,7608.89990234375
2022-02-16,TSCO.L,294.75,115.4,0.4199,1.0133495081,3.8,1.3585,7603.7998046875
2022-02-17,TSCO.L,293.70001220703125,115.4,0.4199,1.0133495081,3.8,1.3624,7537.39990234375
2022-02-18,TSCO.L,294.20001220703125,115.4,0.4199,1.0133495081,3.8,1.3585,7513.60009765625
2022-02-21,TSCO.L,287.6000061035156,115.4,0.4199,1.0133495081,3.8,1.3585,7484.2998046875
2022-02-22,TSCO.L,287.6000061035156,115.4,0.4199,1.0133495081,3.8,1.3597,7494.2001953125
2022-02-23,TSCO.L,290.8500061035156,115.4,0.4199,1.0133495081,3.8,1.3555,7498.2001953125
2022-02-24,TSCO.L,279.6499938964844,115.4,0.4199,1.0133495081,3.8,1.336,7207.0
2022-02-25,TSCO.L,286.54998779296875,115.4,0.4199,1.0133495081,3.8,1.3407,7489.5
2022-02-28,TSCO.L,289.75,115.4,0.4199,1.0133495081,3.8,1.3419,7458.2998046875
2022-03-01,TSCO.L,283.95001220703125,116.5,0.5623,1.0133495081,3.8,1.3318,7330.2001953125
2022-03-02,TSCO.L,282.6499938964844,116.5,0.5623,1.0133495081,3.8,1.3365,7429.60009765625
2022-03-03,TSCO.L,281.3999938964844,116.5,0.5623,1.0133495081,3.8,1.3326,7238.89990234375
2022-03-04,TSCO.L,275.3500061035156,116.5,0.5623,1.0133495081,3.8,1.3214,6987.10009765625
2022-03-07,TSCO.L,272.79998779296875,116.5,0.5623,1.0133495081,3.8,1.3115,6959.5
2022-03-08,TSCO.L,266.04998779296875,116.5,0.5623,1.0133495081,3.8,1.3101,6964.10009765625
2022-03-09,TSCO.L,274.79998779296875,116.5,0.5623,1.0133495081,3.8,1.316,7190.7001953125
2022-03-10,TSCO.L,274.1000061035156,116.5,0.5623,1.0133495081,3.8,1.3108,7099.10009765625
2022-03-11,TSCO.L,272.75,116.5,0.5623,1.0133495081,3.8,1.3063,7155.60009765625
2022-03-14,TSCO.L,276.95001220703125,116.5,0.5623,1.0133495081,3.8,1.3044,7193.5
2022-03-15,TSCO.L,278.5,116.5,0.5623,1.0133495081,3.8,1.3065,7175.7001953125
2022-03-16,TSCO.L,277.6499938964844,116.5,0.5623,1.0133495081,3.8,1.3096,7291.7001953125
